client,tau,theta_star,final_pnl
A,5,0.455,11003.89
A,10,0.595,13482.8
A,15,0.51,14624.05
A,20,0.475,17554.26
A,25,0.48,19830.73
A,30,0.485,21058.19
B,5,0.44,9459.45
B,10,0.505,10618.43
B,15,0.495,11878.79
B,20,0.455,12048.34
B,25,0.455,14204.63
B,30,0.545,15068.24
C,5,0.495,8655.18
C,10,0.525,9348.81
C,15,0.46,9560.36
C,20,0.495,9370.37
C,25,0.465,9233.61
C,30,0.515,9256.35
D,5,0.48,4891.14
D,10,0.49,3624.91
D,15,0.53,2133.17
D,20,0.515,-90.49
D,25,0.1,0.0
D,30,0.485,-557.85
E,5,0.465,3500.15
E,10,0.1,0.0
E,15,0.1,0.0
E,20,0.1,0.0
E,25,0.485,8.3
E,30,0.1,0.0
F,5,0.485,2111.11
F,10,0.1,0.0
F,15,0.5,-122.16
F,20,0.1,0.0
F,25,0.1,0.0
F,30,0.1,0.0
